block	prime	fragment	posprime	ctrlprime	blckprime
minute	mantle	m _ n t _ e	0.8	0.85	0.35
second	spends	s _ e n d _	0.8	0.6	0.25
vegetable	vertebral	v e _ t e b _ _ l	0.5	0.35	0
newton	notion	n _ t _ o n	0.85	0.75	0.4
computer	commuter	c o _ m _ t e r	0.8	0.75	0.4
yearly	yeasts	y e a _ _ s	0.7	0.65	0.3
sheets	shades	s h _ _ e s	0.55	0.6	0.25
potato	portal	p o _ t a _	0.6	0.4	0.1
failure	fatigue	f a _ i _ u e	0.85	0.7	0.4
expensive	expressed	e x p _ e _ s _ d	0.95	0.85	0.55
folder	foiled	f o _ l _ d	0.85	0.8	0.5
flakes	flicks	f l _ _ k s	0.8	0.85	0.55
halloween	harrowing	h a _ _ o w i n _	0.5	0.6	0.3
shampoo	seafood	s _ a _ o o _	0.25	0.5	0.2
cheese	chiefs	c h _ e _ s	0.8	0.35	0.1
indian	infant	i n _ a n _	0.75	0.35	0.1
animal	aerial	a _ _ i a l	0.65	0.3	0.05
disaster	distaste	d i s _ a s t _	0.8	0.5	0.25
dishes	diesel	d i _ s e _	0.75	0.45	0.2
pancakes	panicked	p a n _ c k e _	0.75	0.45	0.2
thought	thrusts	t h _ u _ t s	0.9	0.65	0.4
instrument	instituted	i n s t _ _ u _ e d	0.9	0.7	0.45
standing	stunning	s t _ _ n i n g	0.9	0.75	0.5
daughter	draughts	d _ a _ g h t s	0.95	0.85	0.6
broccoli	bifocals	b _ _ o c _ l s	0.3	0.25	0
branch	breath	b r _ a _ h	0.6	0.65	0.4
nervous	narrows	n _ _ r o _ s	0.3	0.35	0.1
priest	prices	p _ i _ e s	0.3	0.35	0.1
rotten	rotate	r o _ _ t _	0.35	0.4	0.15
empire	emerge	e m _ r _ e	0.2	0.3	0.05
drawer	dreary	d r _ a _ _	0.4	0.55	0.3
people	peeled	p e _ l e _	0.35	0.5	0.25
destroy	distort	d _ s t _ r _	0.15	0.35	0.1
private	printed	p r i _ t e _	0.15	0.55	0.3
kangaroo	kingdoms	k _ n g _ o _ s	0.9	0.35	0.15
precise	preface	p r e _ _ c e	0.85	0.35	0.15
painter	partner	p a _ _ n e r	1	0.55	0.35
hungry	hurray	h u _ r _ y	0.65	0.3	0.1
stoplight	strolling	s t _ o _ l i n _	0.9	0.55	0.35
lawyer	lowers	l _ w _ r s	0.95	0.65	0.45
leaves	levels	l _ v e _ s	0.85	0.6	0.4
muscle	misled	m _ s l e _	0.65	0.4	0.2
yellow	yields	y _ e l _ _	0.55	0.3	0.1
cigarette	congruent	c _ _ g r _ e n t	0.95	0.75	0.55
flower	flavors	f l _ _ o r s	0.45	0.25	0.05
mustard	musical	m u s _ _ a _	0.45	0.25	0.05
pledge	pleads	p l e _ d _	0.65	0.45	0.25
nickel	nieces	n i _ c _ s	0.4	0.25	0.05
parent	parrot	p a _ r _ t	0.85	0.7	0.5
trailer	tripled	t r i _ l e _	0.75	0.6	0.4
castle	cradle	c _ a _ l e	0.5	0.4	0.2
staple	stages	s _ a _ e s	0.75	0.7	0.5
country	century	c _ n t _ r y	0.8	0.8	0.6
leader	ledger	l _ d _ e r	0.75	0.75	0.55
jealousy	jeopardy	j e _ _ a _ d y	0.7	0.75	0.55
puzzle	pulled	p u _ l _ _	0.65	0.75	0.55
asleep	allege	a l _ e _ _	0.5	0.65	0.45
measure	mascara	m _ s _ a r _	0.1	0.25	0.05
problem	proverb	p r o _ e _ _	0.45	0.6	0.4
france	frames	f _ a _ e s	0.4	0.7	0.5
person	piston	p _ s _ o n	0.8	0.15	0
fortune	forties	f o _ t _ e s	0.7	0.25	0.1
bicycle	brittle	b _ i _ _ l e	0.6	0.2	0.05
careful	clarify	c _ a r _ f _	0.9	0.5	0.35
barbecue	backbone	b a _ k b _ _ e	0.85	0.5	0.35
breakfast	breakaway	b r e a k _ _ a _	0.65	0.35	0.2
explode	exalted	e x _ l _ _ d	0.45	0.15	0
husband	hustled	h u s _ _ e d	0.9	0.6	0.45
language	lineages	l _ n _ a g e s	0.45	0.2	0.05
